O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,O*NET-SOC 2019 Description
29-2012.00,Medical and Clinical Laboratory Technicians,"Perform routine medical laboratory tests for the diagnosis, treatment, and prevention of disease. May work under the supervision of a medical technologist."
29-2012.01,Histology Technicians,Prepare histological slides from tissue sections for microscopic examination and diagnosis by pathologists. May assist with research studies.
29-2031.00,Cardiovascular Technologists and Technicians,"Conduct tests on pulmonary or cardiovascular systems of patients for diagnostic, therapeutic, or research purposes. May conduct or assist in electrocardiograms, cardiac catheterizations, pulmonary functions, lung capacity, and similar tests."
29-2032.00,Diagnostic Medical Sonographers,Produce ultrasonic recordings of internal organs for use by physicians. Includes vascular technologists.
29-2033.00,Nuclear Medicine Technologists,"Prepare, administer, and measure radioactive isotopes in therapeutic, diagnostic, and tracer studies using a variety of radioisotope equipment. Prepare stock solutions of radioactive materials and calculate doses to be administered by radiologists. Subject patients to radiation. Execute blood volume, red cell survival, and fat absorption studies following standard laboratory techniques."
29-2034.00,Radiologic Technologists and Technicians,Take x-rays and CAT scans or administer nonradioactive materials into patient's bloodstream for diagnostic or research purposes. Includes radiologic technologists and technicians who specialize in other scanning modalities.
29-2035.00,Magnetic Resonance Imaging Technologists,"Operate Magnetic Resonance Imaging (MRI) scanners. Monitor patient safety and comfort, and view images of area being scanned to ensure quality of pictures. May administer gadolinium contrast dosage intravenously. May interview patient, explain MRI procedures, and position patient on examining table. May enter into the computer data such as patient history, anatomical area to be scanned, orientation specified, and position of entry."
29-2036.00,Medical Dosimetrists,"Generate radiation treatment plans, develop radiation dose calculations, communicate and supervise the treatment plan implementation, and consult with members of radiation oncology team."
29-2042.00,Emergency Medical Technicians,Assess injuries and illnesses and administer basic emergency medical care. May transport injured or sick persons to medical facilities.
29-2043.00,Paramedics,"Administer basic or advanced emergency medical care and assess injuries and illnesses. May administer medication intravenously, use equipment such as EKGs, or administer advanced life support to sick or injured individuals."
29-2051.00,Dietetic Technicians,"Assist in the provision of food service and nutritional programs, under the supervision of a dietitian. May plan and produce meals based on established guidelines, teach principles of food and nutrition, or counsel individuals."
29-2052.00,Pharmacy Technicians,"Prepare medications under the direction of a pharmacist. May measure, mix, count out, label, and record amounts and dosages of medications according to prescription orders."
29-2053.00,Psychiatric Technicians,"Care for individuals with mental or emotional conditions or disabilities, following the instructions of physicians or other health practitioners. Monitor patients' physical and emotional well-being and report to medical staff. May participate in rehabilitation and treatment programs, help with personal hygiene, and administer oral or injectable medications."
29-2055.00,Surgical Technologists,"Assist in operations, under the supervision of surgeons, registered nurses, or other surgical personnel. May help set up operating room, prepare and transport patients for surgery, adjust lights and equipment, pass instruments and other supplies to surgeons and surgeons' assistants, hold retractors, cut sutures, and help count sponges, needles, supplies, and instruments."
29-2056.00,Veterinary Technologists and Technicians,"Perform medical tests in a laboratory environment for use in the treatment and diagnosis of diseases in animals. Prepare vaccines and serums for prevention of diseases. Prepare tissue samples, take blood samples, and execute laboratory tests, such as urinalysis and blood counts. Clean and sterilize instruments and materials and maintain equipment and machines. May assist a veterinarian during surgery."
29-2057.00,Ophthalmic Medical Technicians,"Assist ophthalmologists by performing ophthalmic clinical functions. May administer eye exams, administer eye medications, and instruct the patient in care and use of corrective lenses."
29-2061.00,Licensed Practical and Licensed Vocational Nurses,"Care for ill, injured, or convalescing patients or persons with disabilities in hospitals, nursing homes, clinics, private homes, group homes, and similar institutions. May work under the supervision of a registered nurse. Licensing required."
29-2072.00,Medical Records Specialists,"Compile, process, and maintain medical records of hospital and clinic patients in a manner consistent with medical, administrative, ethical, legal, and regulatory requirements of the healthcare system. Classify medical and healthcare concepts, including diagnosis, procedures, medical services, and equipment, into the healthcare industry's numerical coding system. Includes medical coders."
29-2081.00,"Opticians, Dispensing","Design, measure, fit, and adapt lenses and frames for client according to written optical prescription or specification. Assist client with inserting, removing, and caring for contact lenses. Assist client with selecting frames. Measure customer for size of eyeglasses and coordinate frames with facial and eye measurements and optical prescription. Prepare work order for optical laboratory containing instructions for grinding and mounting lenses in frames. Verify exactness of finished lens spectacles. Adjust frame and lens position to fit client. May shape or reshape frames. Includes contact lens opticians."
29-2091.00,Orthotists and Prosthetists,"Design, measure, fit, and adapt orthopedic braces, appliances or prostheses, such as limbs or facial parts for patients with disabling conditions."
29-2092.00,Hearing Aid Specialists,"Select and fit hearing aids for customers. Administer and interpret tests of hearing. Assess hearing instrument efficacy. Take ear impressions and prepare, design, and modify ear molds."
29-2099.00,"Health Technologists and Technicians, All Other",All health technologists and technicians not listed separately.
29-2099.01,Neurodiagnostic Technologists,"Conduct electroneurodiagnostic (END) tests such as electroencephalograms, evoked potentials, polysomnograms, or electronystagmograms. May perform nerve conduction studies."
29-2099.05,Ophthalmic Medical Technologists,"Assist ophthalmologists by performing ophthalmic clinical functions and ophthalmic photography. Provide instruction and supervision to other ophthalmic personnel. Assist with minor surgical procedures, applying aseptic techniques and preparing instruments. May perform eye exams, administer eye medications, and instruct patients in care and use of corrective lenses."
29-2099.08,Patient Representatives,"Assist patients in obtaining services, understanding policies and making health care decisions."
29-9021.00,Health Information Technologists and Medical Registrars,"Apply knowledge of healthcare and information systems to assist in the design, development, and continued modification and analysis of computerized healthcare systems. Abstract, collect, and analyze treatment and followup information of patients. May educate staff and assist in problem solving to promote the implementation of the healthcare information system. May design, develop, test, and implement databases with complete history, diagnosis, treatment, and health status to help monitor diseases."
29-9091.00,Athletic Trainers,"Evaluate and treat musculoskeletal injuries or illnesses. Provide preventive, therapeutic, emergency, and rehabilitative care."
29-9092.00,Genetic Counselors,"Assess individual or family risk for a variety of inherited conditions, such as genetic disorders and birth defects. Provide information to other healthcare providers or to individuals and families concerned with the risk of inherited conditions. Advise individuals and families to support informed decisionmaking and coping methods for those at risk. May help conduct research related to genetic conditions or genetic counseling."
29-9093.00,Surgical Assistants,"Assist in operations, under the supervision of surgeons. May, in accordance with state laws, help surgeons to make incisions and close surgical sites, manipulate or remove tissues, implant surgical devices or drains, suction the surgical site, place catheters, clamp or cauterize vessels or tissue, and apply dressings to surgical site."
29-9099.00,"Healthcare Practitioners and Technical Workers, All Other",All healthcare practitioners and technical workers not listed separately.
29-9099.01,Midwives,Provide prenatal care and childbirth assistance.
31-1121.00,Home Health Aides,"Monitor the health status of an individual with disabilities or illness, and address their health-related needs, such as changing bandages, dressing wounds, or administering medication. Work is performed under the direction of offsite or intermittent onsite licensed nursing staff. Provide assistance with routine healthcare tasks or activities of daily living, such as feeding, bathing, toileting, or ambulation. May also help with tasks such as preparing meals, doing light housekeeping, and doing laundry depending on the patient's abilities."
31-1122.00,Personal Care Aides,"Provide personalized assistance to individuals with disabilities or illness who require help with personal care and activities of daily living support (e.g., feeding, bathing, dressing, grooming, toileting, and ambulation). May also provide help with tasks such as preparing meals, doing light housekeeping, and doing laundry. Work is performed in various settings depending on the needs of the care recipient and may include locations such as their home, place of work, out in the community, or at a daytime nonresidential facility."
31-1131.00,Nursing Assistants,"Provide or assist with basic care or support under the direction of onsite licensed nursing staff. Perform duties such as monitoring of health status, feeding, bathing, dressing, grooming, toileting, or ambulation of patients in a health or nursing facility. May include medication administration and other health-related tasks. Includes nursing care attendants, nursing aides, and nursing attendants."
31-1132.00,Orderlies,"Transport patients to areas such as operating rooms or x-ray rooms using wheelchairs, stretchers, or moveable beds. May maintain stocks of supplies or clean and transport equipment. Psychiatric orderlies are included in Psychiatric Aides."
31-1133.00,Psychiatric Aides,"Assist mentally impaired or emotionally disturbed patients, working under direction of nursing and medical staff. May assist with daily living activities, lead patients in educational and recreational activities, or accompany patients to and from examinations and treatments. May restrain violent patients. Includes psychiatric orderlies."
31-2011.00,Occupational Therapy Assistants,"Assist occupational therapists in providing occupational therapy treatments and procedures. May, in accordance with state laws, assist in development of treatment plans, carry out routine functions, direct activity programs, and document the progress of treatments. Generally requires formal training."
31-2012.00,Occupational Therapy Aides,"Under close supervision of an occupational therapist or occupational therapy assistant, perform only delegated, selected, or routine tasks in specific situations. These duties include preparing patient and treatment room."
31-2021.00,Physical Therapist Assistants,"Assist physical therapists in providing physical therapy treatments and procedures. May, in accordance with state laws, assist in the development of treatment plans, carry out routine functions, document the progress of treatment, and modify specific treatments in accordance with patient status and within the scope of treatment plans established by a physical therapist. Generally requires formal training."
31-2022.00,Physical Therapist Aides,"Under close supervision of a physical therapist or physical therapy assistant, perform only delegated, selected, or routine tasks in specific situations. These duties include preparing the patient and the treatment area."
31-9011.00,Massage Therapists,"Perform therapeutic massages of soft tissues and joints. May assist in the assessment of range of motion and muscle strength, or propose client therapy plans."
31-9091.00,Dental Assistants,"Perform limited clinical duties under the direction of a dentist. Clinical duties may include equipment preparation and sterilization, preparing patients for treatment, assisting the dentist during treatment, and providing patients with instructions for oral healthcare procedures. May perform administrative duties such as scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes."
31-9092.00,Medical Assistants,"Perform administrative and certain clinical duties under the direction of a physician. Administrative duties may include scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes. Clinical duties may include taking and recording vital signs and medical histories, preparing patients for examination, drawing blood, and administering medications as directed by physician."
31-9093.00,Medical Equipment Preparers,"Prepare, sterilize, install, or clean laboratory or healthcare equipment. May perform routine laboratory tasks and operate or inspect equipment."
31-9094.00,Medical Transcriptionists,"Transcribe medical reports recorded by physicians and other healthcare practitioners using various electronic devices, covering office visits, emergency room visits, diagnostic imaging studies, operations, chart reviews, and final summaries. Transcribe dictated reports and translate abbreviations into fully understandable form. Edit as necessary and return reports in either printed or electronic form for review and signature, or correction."
31-9095.00,Pharmacy Aides,"Record drugs delivered to the pharmacy, store incoming merchandise, and inform the supervisor of stock needs. May operate cash register and accept prescriptions for filling."
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,"Feed, water, and examine pets and other nonfarm animals for signs of illness, disease, or injury in laboratories and animal hospitals and clinics. Clean and disinfect cages and work areas, and sterilize laboratory and surgical equipment. May provide routine postoperative care, administer medication orally or topically, or prepare samples for laboratory examination under the supervision of veterinary or laboratory animal technologists or technicians, veterinarians, or scientists."
31-9097.00,Phlebotomists,"Draw blood for tests, transfusions, donations, or research. May explain the procedure to patients and assist in the recovery of patients with adverse reactions."
31-9099.00,"Healthcare Support Workers, All Other",All healthcare support workers not listed separately.
31-9099.01,Speech-Language Pathology Assistants,"Assist speech-language pathologists in the assessment and treatment of speech, language, voice, and fluency disorders. Implement speech and language programs or activities as planned and directed by speech-language pathologists. Monitor the use of alternative communication devices and systems."
31-9099.02,Endoscopy Technicians,Maintain a sterile field to provide support for physicians and nurses during endoscopy procedures. Prepare and maintain instruments and equipment. May obtain specimens.
33-1011.00,First-Line Supervisors of Correctional Officers,Directly supervise and coordinate activities of correctional officers and jailers.
33-1012.00,First-Line Supervisors of Police and Detectives,Directly supervise and coordinate activities of members of police force.
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,Directly supervise and coordinate activities of workers engaged in firefighting and fire prevention and control.
33-1091.00,First-Line Supervisors of Security Workers,Directly supervise and coordinate activities of security workers and security guards.
33-1099.00,"First-Line Supervisors of Protective Service Workers, All Other",All protective service supervisors not listed separately above.
33-2011.00,Firefighters,"Control and extinguish fires or respond to emergency situations where life, property, or the environment is at risk. Duties may include fire prevention, emergency medical service, hazardous material response, search and rescue, and disaster assistance."
33-2021.00,Fire Inspectors and Investigators,"Inspect buildings to detect fire hazards and enforce local ordinances and state laws, or investigate and gather facts to determine cause of fires and explosions."
33-2022.00,Forest Fire Inspectors and Prevention Specialists,"Enforce fire regulations, inspect forest for fire hazards, and recommend forest fire prevention or control measures. May report forest fires and weather conditions."
33-3011.00,Bailiffs,Maintain order in courts of law.
33-3012.00,Correctional Officers and Jailers,"Guard inmates in penal or rehabilitative institutions in accordance with established regulations and procedures. May guard prisoners in transit between jail, courtroom, prison, or other point. Includes deputy sheriffs and police who spend the majority of their time guarding prisoners in correctional institutions."
33-3021.00,Detectives and Criminal Investigators,"Conduct investigations related to suspected violations of federal, state, or local laws to prevent or solve crimes."
33-3021.02,Police Identification and Records Officers,"Collect evidence at crime scene, classify and identify fingerprints, and photograph evidence for use in criminal and civil cases."
33-3021.06,Intelligence Analysts,"Gather, analyze, or evaluate information from a variety of sources, such as law enforcement databases, surveillance, intelligence networks or geographic information systems. Use intelligence data to anticipate and prevent organized crime activities, such as terrorism."
33-3031.00,Fish and Game Wardens,Patrol assigned area to prevent fish and game law violations. Investigate reports of damage to crops or property by wildlife. Compile biological data.
33-3041.00,Parking Enforcement Workers,"Patrol assigned area, such as public parking lot or city streets to issue tickets to overtime parking violators and illegally parked vehicles."
33-3051.00,Police and Sheriff's Patrol Officers,"Maintain order and protect life and property by enforcing local, tribal, state, or federal laws and ordinances. Perform a combination of the following duties: patrol a specific area; direct traffic; issue traffic summonses; investigate accidents; apprehend and arrest suspects, or serve legal processes of courts. Includes police officers working at educational institutions."
33-3051.04,Customs and Border Protection Officers,"Investigate and inspect persons, common carriers, goods, and merchandise, arriving in or departing from the United States or between states to detect violations of immigration and customs laws and regulations."
33-3052.00,Transit and Railroad Police,"Protect and police railroad and transit property, employees, or passengers."
33-9011.00,Animal Control Workers,"Handle animals for the purpose of investigations of mistreatment, or control of abandoned, dangerous, or unattended animals."
33-9021.00,Private Detectives and Investigators,"Gather, analyze, compile, and report information regarding individuals or organizations to clients, or detect occurrences of unlawful acts or infractions of rules in private establishment."
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,"Observe gambling operation for irregular activities such as cheating or theft by either employees or patrons. Investigate potential threats to gambling assets such as money, chips, and gambling equipment. Act as oversight and security agent for management and customers."
33-9032.00,Security Guards,"Guard, patrol, or monitor premises to prevent theft, violence, or infractions of rules. May operate x-ray and metal detector equipment."
33-9091.00,Crossing Guards and Flaggers,"Guide or control vehicular or pedestrian traffic at such places as streets, schools, railroad crossings, or construction sites."
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Monitor recreational areas, such as pools, beaches, or ski slopes, to provide assistance and protection to participants."
33-9093.00,Transportation Security Screeners,"Conduct screening of passengers, baggage, or cargo to ensure compliance with Transportation Security Administration (TSA) regulations. May operate basic security equipment such as x-ray machines and hand wands at screening checkpoints."
33-9094.00,School Bus Monitors,Maintain order among students on a school bus. Duties include helping students safely board and exit and communicating behavioral problems. May perform pretrip and posttrip inspections and prepare for and assist in emergency evacuations.
33-9099.00,"Protective Service Workers, All Other",All protective service workers not listed separately.
33-9099.02,Retail Loss Prevention Specialists,"Implement procedures and systems to prevent merchandise loss. Conduct audits and investigations of employee activity. May assist in developing policies, procedures, and systems for safeguarding assets."
35-1011.00,Chefs and Head Cooks,"Direct and may participate in the preparation, seasoning, and cooking of salads, soups, fish, meats, vegetables, desserts, or other foods. May plan and price menu items, order supplies, and keep records and accounts."
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,Directly supervise and coordinate activities of workers engaged in preparing and serving food.
35-2011.00,"Cooks, Fast Food",Prepare and cook food in a fast food restaurant with a limited menu. Duties of these cooks are limited to preparation of a few basic items and normally involve operating large-volume single-purpose cooking equipment.
35-2012.00,"Cooks, Institution and Cafeteria","Prepare and cook large quantities of food for institutions, such as schools, hospitals, or cafeterias."
35-2013.00,"Cooks, Private Household",Prepare meals in private homes. Includes personal chefs.
35-2014.00,"Cooks, Restaurant","Prepare, season, and cook dishes such as soups, meats, vegetables, or desserts in restaurants. May order supplies, keep records and accounts, price items on menu, or plan menu."
35-2015.00,"Cooks, Short Order",Prepare and cook to order a variety of foods that require only a short preparation time. May take orders from customers and serve patrons at counters or tables.
35-2019.00,"Cooks, All Other",All cooks not listed separately.
35-2021.00,Food Preparation Workers,"Perform a variety of food preparation duties other than cooking, such as preparing cold foods and shellfish, slicing meat, and brewing coffee or tea."
35-3011.00,Bartenders,"Mix and serve drinks to patrons, directly or through waitstaff."
35-3023.00,Fast Food and Counter Workers,Perform duties such as taking orders and serving food and beverages. Serve customers at counter or from a steam table. May take payment. May prepare food and beverages.
35-3023.01,Baristas,Prepare or serve specialty coffee or other beverages. Serve food such as baked goods or sandwiches to patrons.
35-3031.00,Waiters and Waitresses,Take orders and serve food and beverages to patrons at tables in dining establishment.
35-3041.00,"Food Servers, Nonrestaurant","Serve food to individuals outside of a restaurant environment, such as in hotel rooms, hospital rooms, residential care facilities, or cars."
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,"Facilitate food service. Clean tables; remove dirty dishes; replace soiled table linens; set tables; replenish supply of clean linens, silverware, glassware, and dishes; supply service bar with food; and serve items such as water, condiments, and coffee to patrons."
35-9021.00,Dishwashers,"Clean dishes, kitchen, food preparation equipment, or utensils."
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","Welcome patrons, seat them at tables or in lounge, and help ensure quality of facilities and service."
35-9099.00,"Food Preparation and Serving Related Workers, All Other",All food preparation and serving related workers not listed separately.
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,"Directly supervise and coordinate work activities of cleaning personnel in hotels, hospitals, offices, and other establishments."
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","Directly supervise and coordinate activities of workers engaged in landscaping or groundskeeping activities. Work may involve reviewing contracts to ascertain service, machine, and workforce requirements; answering inquiries from potential customers regarding methods, material, and price ranges; and preparing estimates according to labor, material, and machine costs."
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","Keep buildings in clean and orderly condition. Perform heavy cleaning duties, such as cleaning floors, shampooing rugs, washing walls and glass, and removing rubbish. Duties may include tending furnace and boiler, performing routine maintenance activities, notifying management of need for repairs, and cleaning snow or debris from sidewalk."
37-2012.00,Maids and Housekeeping Cleaners,"Perform any combination of light cleaning duties to maintain private households or commercial establishments, such as hotels and hospitals, in a clean and orderly manner. Duties may include making beds, replenishing linens, cleaning rooms and halls, and vacuuming."
37-2019.00,"Building Cleaning Workers, All Other",All building cleaning workers not listed separately.
37-2021.00,Pest Control Workers,Apply or release chemical solutions or toxic gases and set traps to kill or remove pests and vermin that infest buildings and surrounding areas.
37-3011.00,Landscaping and Groundskeeping Workers,"Landscape or maintain grounds of property using hand or power tools or equipment. Workers typically perform a variety of tasks, which may include any combination of the following: sod laying, mowing, trimming, planting, watering, fertilizing, digging, raking, sprinkler installation, and installation of mortarless segmental concrete masonry wall units."
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Mix or apply pesticides, herbicides, fungicides, or insecticides through sprays, dusts, vapors, soil incorporation, or chemical application on trees, shrubs, lawns, or crops. Usually requires specific training and state or federal certification."
37-3013.00,Tree Trimmers and Pruners,"Using sophisticated climbing and rigging techniques, cut away dead or excess branches from trees or shrubs to maintain right-of-way for roads, sidewalks, or utilities, or to improve appearance, health, and value of tree. Prune or treat trees or shrubs using handsaws, hand pruners, clippers, and power pruners. Works off the ground in the tree canopy and may use truck-mounted lifts."
37-3019.00,"Grounds Maintenance Workers, All Other",All grounds maintenance workers not listed separately.
39-1013.00,First-Line Supervisors of Gambling Services Workers,"Directly supervise and coordinate activities of workers in assigned gambling areas. May circulate among tables, observe operations, and ensure that stations and games are covered for each shift. May verify and pay off jackpots. May reset slot machines after payoffs and make repairs or adjustments to slot machines or recommend removal of slot machines for repair. May plan and organize activities and services for guests in hotels/casinos."
39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",Directly supervise and coordinate activities of entertainment and recreation related workers.
39-1022.00,First-Line Supervisors of Personal Service Workers,Supervise and coordinate activities of personal service workers.
39-2011.00,Animal Trainers,"Train animals for riding, harness, security, performance, or obedience, or for assisting persons with disabilities. Accustom animals to human voice and contact, and condition animals to respond to commands. Train animals according to prescribed standards for show or competition. May train animals to carry pack loads or work as part of pack team."
39-2021.00,Animal Caretakers,"Feed, water, groom, bathe, exercise, or otherwise provide care to promote and maintain the well-being of pets and other animals that are not raised for consumption, such as dogs, cats, race horses, ornamental fish or birds, zoo animals, and mice. Work in settings such as kennels, animal shelters, zoos, circuses, and aquariums. May keep records of feedings, treatments, and animals received or discharged. May clean, disinfect, and repair cages, pens, or fish tanks."
39-3011.00,Gambling Dealers,"Operate table games. Stand or sit behind table and operate games of chance by dispensing the appropriate number of cards or blocks to players, or operating other gambling equipment. Distribute winnings or collect players' money or chips. May compare the house's hand against players' hands."
39-3012.00,Gambling and Sports Book Writers and Runners,"Post information enabling patrons to wager on various races and sporting events. Assist in the operation of games such as keno and bingo. May operate random number-generating equipment and announce the numbers for patrons. Receive, verify, and record patrons' wagers. Scan and process winning tickets presented by patrons and pay out winnings for those wagers."
39-3019.00,"Gambling Service Workers, All Other",All gambling service workers not listed separately.
39-3021.00,Motion Picture Projectionists,Set up and operate motion picture projection and related sound reproduction equipment.
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers","Assist patrons at entertainment events by performing duties, such as collecting admission tickets and passes from patrons, assisting in finding seats, searching for lost articles, and helping patrons locate such facilities as restrooms and telephones."
39-3091.00,Amusement and Recreation Attendants,"Perform a variety of attending duties at amusement or recreation facility. May schedule use of recreation facilities, maintain and provide equipment to participants of sporting events or recreational pursuits, or operate amusement concessions and rides."
39-3092.00,Costume Attendants,"Select, fit, and take care of costumes for cast members, and aid entertainers. May assist with multiple costume changes during performances."
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants","Provide personal items to patrons or customers in locker rooms, dressing rooms, or coatrooms."
39-3099.00,"Entertainment Attendants and Related Workers, All Other",All entertainment attendants and related workers not listed separately.
39-4011.00,Embalmers,Prepare bodies for interment in conformity with legal requirements.
39-4012.00,Crematory Operators,"Operate crematory equipment to reduce human or animal remains to bone fragments in accordance with state and local regulations. Duties may include preparing the body for cremation and performing general maintenance on crematory equipment. May use traditional flame-based cremation, calcination, or alkaline hydrolysis."
39-4021.00,Funeral Attendants,"Perform a variety of tasks during funeral, such as placing casket in parlor or chapel prior to service, arranging floral offerings or lights around casket, directing or escorting mourners, closing casket, and issuing and storing funeral equipment."
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers","Perform various tasks to arrange and direct individual funeral services, such as coordinating transportation of body to mortuary, interviewing family or other authorized person to arrange details, selecting pallbearers, aiding with the selection of officials for religious rites, and providing transportation for mourners."
39-5011.00,Barbers,"Provide barbering services, such as cutting, trimming, shampooing, and styling hair; trimming beards; or giving shaves."
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists","Provide beauty services, such as cutting, coloring, and styling hair, and massaging and treating scalp. May shampoo hair, apply makeup, dress wigs, remove hair, and provide nail and skincare services."
39-5091.00,"Makeup Artists, Theatrical and Performance","Apply makeup to performers to reflect period, setting, and situation of their role."
39-5092.00,Manicurists and Pedicurists,Clean and shape customers' fingernails and toenails. May polish or decorate nails.
39-5093.00,Shampooers,Shampoo and rinse customers' hair.
39-5094.00,Skincare Specialists,Provide skincare treatments to face and body to enhance an individual's appearance. Includes electrologists and laser hair removal specialists.
39-6011.00,Baggage Porters and Bellhops,Handle baggage for travelers at transportation terminals or for guests at hotels or similar establishments.
39-6012.00,Concierges,"Assist patrons at hotel, apartment, or office building with personal services. May take messages; arrange or give advice on transportation, business services, or entertainment; or monitor guest requests for housekeeping and maintenance."
39-7011.00,Tour Guides and Escorts,"Escort individuals or groups on sightseeing tours or through places of interest, such as industrial establishments, public buildings, and art galleries."
39-7012.00,Travel Guides,"Plan, organize, and conduct long-distance travel, tours, and expeditions for individuals and groups."
39-9011.00,Childcare Workers,"Attend to children at schools, businesses, private households, and childcare institutions. Perform a variety of tasks, such as dressing, feeding, bathing, and overseeing play."
39-9011.01,Nannies,"Care for children in private households and provide support and expertise to parents in satisfying children's physical, emotional, intellectual, and social needs. Duties may include meal planning and preparation, laundry and clothing care, organization of play activities and outings, discipline, intellectual stimulation, language activities, and transportation."
39-9031.00,Exercise Trainers and Group Fitness Instructors,"Instruct or coach groups or individuals in exercise activities for the primary purpose of personal fitness. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills. Develop and implement individualized approaches to exercise."
39-9032.00,Recreation Workers,"Conduct recreation activities with groups in public, private, or volunteer agencies or recreation facilities. Organize and promote activities, such as arts and crafts, sports, games, music, dramatics, social recreation, camping, and hobbies, taking into account the needs and interests of individual members."
39-9041.00,Residential Advisors,"Coordinate activities in resident facilities in secondary school and college dormitories, group homes, or similar establishments. Order supplies and determine need for maintenance, repairs, and furnishings. May maintain household records and assign rooms. May assist residents with problem solving or refer them to counseling resources."
39-9099.00,"Personal Care and Service Workers, All Other",All personal care and service workers not listed separately.
41-1011.00,First-Line Supervisors of Retail Sales Workers,"Directly supervise and coordinate activities of retail sales workers in an establishment or department. Duties may include management functions, such as purchasing, budgeting, accounting, and personnel work, in addition to supervisory duties."
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,"Directly supervise and coordinate activities of sales workers other than retail sales workers. May perform duties such as budgeting, accounting, and personnel work, in addition to supervisory duties."
41-2011.00,Cashiers,"Receive and disburse money in establishments other than financial institutions. May use electronic scanners, cash registers, or related equipment. May process credit or debit card transactions and validate checks."
41-2012.00,Gambling Change Persons and Booth Cashiers,"Exchange coins, tokens, and chips for patrons' money. May issue payoffs and obtain customer's signature on receipt. May operate a booth in the slot machine area and furnish change persons with money bank at the start of the shift, or count and audit money in drawers."
41-2021.00,Counter and Rental Clerks,"Receive orders, generally in person, for repairs, rentals, and services. May describe available options, compute cost, and accept payment."
41-2022.00,Parts Salespersons,Sell spare and replacement parts and equipment in repair shop or parts store.
41-2031.00,Retail Salespersons,"Sell merchandise, such as furniture, motor vehicles, appliances, or apparel to consumers."
41-3011.00,Advertising Sales Agents,"Sell or solicit advertising space, time, or media in publications, signage, TV, radio, or Internet establishments or public spaces."
41-3021.00,Insurance Sales Agents,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as an independent broker, or be employed by an insurance company."
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents","Buy and sell securities or commodities in investment and trading firms, or provide financial services to businesses and individuals. May advise customers about stocks, bonds, mutual funds, commodities, and market conditions."
41-3041.00,Travel Agents,"Plan and sell transportation and accommodations for customers. Determine destination, modes of transportation, travel dates, costs, and accommodations required. May also describe, plan, and arrange itineraries and sell tour packages. May assist in resolving clients' travel problems."
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Sell services to individuals or businesses. May describe options or resolve client problems.
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sell goods for wholesalers or manufacturers where technical or scientific knowledge is required in such areas as biology, engineering, chemistry, and electronics, normally obtained from at least 2 years of postsecondary education."
41-4011.07,Solar Sales Representatives and Assessors,"Contact new or existing customers to determine their solar equipment needs, suggest systems or equipment, or estimate costs."
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sell goods for wholesalers or manufacturers to businesses or groups of individuals. Work requires substantial knowledge of items sold.
41-9011.00,Demonstrators and Product Promoters,Demonstrate merchandise and answer questions for the purpose of creating public interest in buying the product. May sell demonstrated merchandise.
41-9012.00,Models,"Model garments or other apparel and accessories for prospective buyers at fashion shows, private showings, or retail establishments. May pose for photos to be used in magazines or advertisements. May pose as subject for paintings, sculptures, and other types of artistic expression."
41-9021.00,Real Estate Brokers,"Operate real estate office, or work for commercial real estate firm, overseeing real estate transactions. Other duties usually include selling real estate or renting properties and arranging loans."
41-9022.00,Real Estate Sales Agents,"Rent, buy, or sell property for clients. Perform duties such as study property listings, interview prospective clients, accompany clients to property site, discuss conditions of sale, and draw up real estate contracts. Includes agents who represent buyer."
41-9031.00,Sales Engineers,"Sell business goods or services, the selling of which requires a technical background equivalent to a baccalaureate degree in engineering."
41-9041.00,Telemarketers,Solicit donations or orders for goods or services over the telephone.
